Date,Open,High,Low,Close,,Y'Close,Gap Up>0,GapUp = 1,,NegClose ,Pos Close=1,Y's Neg,Y' -ive T GapUp,,,,
02-Jan-23,43038.25,43382.75,42961.75,43203.1,,,Open - Y'close >0,,,Close - Open >0,,,,,,,
03-Jan-23,43151.45,43482.8,43148.45,43425.25,,43203.1,-51.65,0,,273.8,1,,,,,,
04-Jan-23,43417.5,43578.4,42858.65,42958.8,,43425.25,-7.75,0,,-458.7,0,1,,,,,
05-Jan-23,43073.05,43137.55,42298.6,42608.7,,42958.8,114.25,1,,-464.35,0,0,1,,,,
06-Jan-23,42649.7,42685.9,41877,42188.8,,42608.7,41,1,,-460.9,0,0,1,,,,Neg
09-Jan-23,42404.85,42716.8,42186.55,42582.75,,42188.8,216.05,1,,177.9,1,0,1,,,,Gap Up
10-Jan-23,42642,42674.25,41835.75,42014.75,,42582.75,59.25,1,,-627.25,0,1,0,,,,
11-Jan-23,42071.85,42318,41729,42232.7,,42014.75,57.1,1,,160.85,1,0,1,,,,
12-Jan-23,42238.5,42343.5,41742.95,42082.25,,42232.7,5.8,1,,-156.25,0,1,0,,,,
13-Jan-23,42171.25,42453.95,41885.6,42371.25,,42082.25,89,1,,200,1,0,1,,,,
16-Jan-23,42622.5,42715.65,42066.55,42167.55,,42371.25,251.25,1,,-454.95,0,1,0,,,,
17-Jan-23,42241.2,42383.8,41861.1,42235.05,,42167.55,73.65,1,,-6.15,0,0,1,,,,
18-Jan-23,42271.8,42555.9,42119.65,42458,,42235.05,36.75,1,,186.2,1,0,1,,,,
19-Jan-23,42416.3,42506.25,42234.9,42328.85,,42458,-41.7,0,,-87.45,0,1,0,,,,
20-Jan-23,42516.05,42709.2,42366.15,42506.8,,42328.85,187.2,1,,-9.25,0,0,1,,,,
23-Jan-23,42891.45,43005.85,42727.7,42821.25,,42506.8,384.65,1,,-70.2,0,0,1,,,,
24-Jan-23,42994.45,43078.9,42615.65,42733.45,,42821.25,173.2,1,,-261,0,0,1,,,,
25-Jan-23,42703.6,42733.05,41540.3,41647.65,,42733.45,-29.85,0,,-1055.95,0,0,0,,,,
27-Jan-23,41382.35,41417.9,40148.8,40345.3,,41647.65,-265.3,0,,-1037.05,0,0,0,,,,
30-Jan-23,39856.15,40789.55,39419.8,40387.45,,40345.3,-489.15,0,,531.3,1,0,0,,,,
31-Jan-23,40563.85,40811.65,40167.7,40655.05,,40387.45,176.4,1,,91.2,1,1,0,,,,
01-Feb-23,41115,42015.65,39490.5,40513,,40655.05,459.95,1,,-602,0,1,0,,,,
02-Feb-23,39943.35,40757.6,39761.45,40669.3,,40513,-569.65,0,,725.95,1,0,0,,,,
03-Feb-23,41019.35,41539.95,40609.75,41499.7,,40669.3,350.05,1,,480.35,1,1,0,,,,
06-Feb-23,41530.15,41724.5,41261.2,41374.65,,41499.7,30.45,1,,-155.5,0,1,0,,,,
07-Feb-23,41513.1,41630.75,41095.1,41490.95,,41374.65,138.45,1,,-22.15,0,0,1,,,,
08-Feb-23,41542.05,41791.95,41403.05,41537.65,,41490.95,51.1,1,,-4.4,0,0,1,,,,
09-Feb-23,41634,41634,41252.95,41554.3,,41537.65,96.35,1,,-79.7,0,0,1,,,,
10-Feb-23,41452.4,41678.9,41424.9,41559.4,,41554.3,-101.9,0,,107,1,0,0,,,,
13-Feb-23,41563.5,41662.55,41157.9,41282.2,,41559.4,4.1,1,,-281.3,0,1,0,,,,
14-Feb-23,41410.45,41718,41195.75,41648.35,,41282.2,128.25,1,,237.9,1,0,1,,,,
15-Feb-23,41674.6,41795.45,41455.6,41731.05,,41648.35,26.25,1,,56.45,1,1,0,,,,
16-Feb-23,41925.7,41979.1,41521.95,41631.35,,41731.05,194.65,1,,-294.35,0,1,0,,,,
17-Feb-23,41514,41516.3,40882.7,41131.75,,41631.35,-117.35,0,,-382.25,0,0,0,,,,
20-Feb-23,41221.55,41292.6,40580.1,40701.7,,41131.75,89.8,1,,-519.85,0,0,1,,,,
21-Feb-23,40784.9,40946.2,40508.25,40673.6,,40701.7,83.2,1,,-111.3,0,0,1,,,,
22-Feb-23,40494.15,40529.25,39899,39995.9,,40673.6,-179.45,0,,-498.25,0,0,0,,,,
23-Feb-23,39983.7,40147.8,39600.25,40001.55,,39995.9,-12.2,0,,17.85,1,0,0,,,,
24-Feb-23,40259.1,40348.1,39818.9,39909.4,,40001.55,257.55,1,,-349.7,0,1,0,,,,
27-Feb-23,39820.4,40371.45,39745.4,40307.1,,39909.4,-89,0,,486.7,1,0,0,,,,
28-Feb-23,40302.7,40391.45,40073,40269.05,,40307.1,-4.4,0,,-33.65,0,1,0,,,,
01-Mar-23,40473.85,40725.35,40341.95,40698.15,,40269.05,204.8,1,,224.3,1,0,1,,,,
02-Mar-23,40604.55,40773.25,40312.9,40389.8,,40698.15,-93.6,0,,-214.75,0,1,0,,,,
03-Mar-23,40671.4,41390.15,40605.35,41251.35,,40389.8,281.6,1,,579.95,1,0,1,,,,
06-Mar-23,41418.4,41671.2,41259.15,41350.4,,41251.35,167.05,1,,-68,0,1,0,,,,
08-Mar-23,41178.35,41625.35,41100.35,41577.1,,41350.4,-172.05,0,,398.75,1,0,0,,,,
09-Mar-23,41532.65,41659,41208.1,41256.75,,41577.1,-44.45,0,,-275.9,0,1,0,,,,
10-Mar-23,40805.25,40839,40341.7,40485.45,,41256.75,-451.5,0,,-319.8,0,0,0,,,,
13-Mar-23,40356.1,40690.05,39454.6,39564.7,,40485.45,-129.35,0,,-791.4,0,0,0,,,,
14-Mar-23,39522.4,39768.5,39132.6,39411.4,,39564.7,-42.3,0,,-111,0,0,0,,,,
15-Mar-23,39777.9,39914.1,38934.65,39051.5,,39411.4,366.5,1,,-726.4,0,0,1,,,,
16-Mar-23,39061.7,39381.4,38613.15,39132.6,,39051.5,10.2,1,,70.9,1,0,1,,,,
17-Mar-23,39442.4,39705.15,38926.8,39598.1,,39132.6,309.8,1,,155.7,1,1,0,,,,
20-Mar-23,39512.1,39512.1,38941.9,39361.95,,39598.1,-86,0,,-150.15,0,1,0,,,,
21-Mar-23,39599.65,39970.9,39366.3,39894.7,,39361.95,237.7,1,,295.05,1,0,1,,,,
22-Mar-23,40036,40085.6,39837.8,39999.05,,39894.7,141.3,1,,-36.95,0,1,0,,,,
23-Mar-23,39836.15,40201.6,39552.5,39616.9,,39999.05,-162.9,0,,-219.25,0,0,0,,,,
24-Mar-23,39555.25,39767.9,39294.9,39395.35,,39616.9,-61.65,0,,-159.9,0,0,0,,,,
27-Mar-23,39484.7,39695.2,39273.75,39431.3,,39395.35,89.35,1,,-53.4,0,0,1,,,,
28-Mar-23,39545.05,39645.2,39326.1,39567.9,,39431.3,113.75,1,,22.85,1,0,1,,,,
29-Mar-23,39611.55,40055,39609.55,39910.15,,39567.9,43.65,1,,298.6,1,1,0,,,,
31-Mar-23,40231.25,40690.4,40180.2,40608.65,,39910.15,321.1,1,,377.4,1,1,0,,,,
03-Apr-23,40695.8,40857.6,40535.9,40813.05,,40608.65,87.15,1,,117.25,1,1,0,,,,
05-Apr-23,40972.3,41071.15,40802.65,40999.15,,40813.05,159.25,1,,26.85,1,1,0,,,,
06-Apr-23,40940.7,41274.7,40820.55,41041,,40999.15,-58.45,0,,100.3,1,1,0,,,,
10-Apr-23,41116.15,41139.85,40727.25,40834.65,,41041,75.15,1,,-281.5,0,1,0,,,,
11-Apr-23,41232,41403.25,40990.2,41366.5,,40834.65,397.35,1,,134.5,1,0,1,,,,
12-Apr-23,41426,41610.15,41332,41557.95,,41366.5,59.5,1,,131.95,1,1,0,,,,
13-Apr-23,41680.1,42196.2,41502.65,42132.55,,41557.95,122.15,1,,452.45,1,1,0,,,,
17-Apr-23,42603.55,42603.55,41799,42262.55,,42132.55,471,1,,-341,0,1,0,,,,
18-Apr-23,42406.95,42500.7,42114.35,42265.2,,42262.55,144.4,1,,-141.75,0,0,1,,,,
19-Apr-23,42280.1,42339.9,42022.15,42154,,42265.2,14.9,1,,-126.1,0,0,1,,,,
20-Apr-23,42218.5,42378.15,42108.85,42269.5,,42154,64.5,1,,51,1,0,1,,,,
21-Apr-23,42252.55,42382.15,41962.35,42118,,42269.5,-16.95,0,,-134.55,0,1,0,,,,
24-Apr-23,42469.95,42714.15,42269.1,42635.75,,42118,351.95,1,,165.8,1,0,1,,,,
25-Apr-23,42731.6,42865.55,42601.5,42678.5,,42635.75,95.85,1,,-53.1,0,1,0,,,,
26-Apr-23,42559.05,42875.6,42432.25,42829.9,,42678.5,-119.45,0,,270.85,1,0,0,,,,
27-Apr-23,42753.9,43043.4,42736.6,43000.85,,42829.9,-76,0,,246.95,1,1,0,,,,
28-Apr-23,43045.5,43302.05,42810.35,43233.9,,43000.85,44.65,1,,188.4,1,1,0,,,,
