Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00000,0.91,-2.22,-0.01,205.35,0.01,1015025.00,114900.00,37.50,420975.00,3.05,3.10,0.00,0.00,3.10,3.10,39000,29.90,BANKNIFTY,3951.05,-26.19,3938.80,3977.24,3918.65,3980.80,2050.00,0.00,0.00,0.00,0.52,0.99,-2.22,0.91,0.00000
0.00000,0.94,-2.24,-0.01,--,0.01,49850.00,3425.00,86.70,7375.00,3.15,3.20,0.00,0.00,3.15,3.15,39100,29.20,BANKNIFTY,0.00,--,3838.80,3877.24,3733.90,3954.30,0.00,0.00,0.00,0.00,--,0.99,-2.24,0.94,0.00000
0.00000,0.98,-2.29,-0.01,--,0.01,34775.00,-75.00,-0.90,8325.00,3.20,3.30,0.00,0.00,3.25,3.25,39200,28.60,BANKNIFTY,0.00,--,3738.80,3777.24,3630.65,3877.20,0.00,0.00,0.00,0.00,--,0.99,-2.29,0.98,0.00000
0.00000,1.02,-2.34,-0.01,--,0.01,77450.00,14300.00,205.00,21275.00,3.30,3.40,0.00,0.00,3.35,3.35,39300,28.00,BANKNIFTY,0.00,--,3638.80,3677.24,3534.20,3772.70,0.00,0.00,0.00,0.00,--,0.99,-2.34,1.02,0.00000
0.00000,1.07,-2.39,-0.01,--,0.01,143275.00,-12150.00,-33.70,23900.00,3.40,3.45,0.00,0.00,3.45,3.45,39400,27.40,BANKNIFTY,0.00,--,3538.80,3577.24,3432.95,3669.70,0.00,0.00,0.00,0.00,--,0.99,-2.39,1.07,0.00000
0.00000,1.09,-2.37,-0.01,92.42,0.01,1229425.00,114150.00,24.60,577650.00,3.40,3.45,0.00,0.00,3.45,3.45,39500,26.70,BANKNIFTY,3440.85,-36.39,3438.80,3477.24,3469.90,3475.90,6250.00,-3.50,-225.00,625.00,0.53,0.99,-2.37,1.09,0.00000
0.00000,1.16,-2.47,-0.01,1361,0.01,198875.00,20550.00,43.30,68050.00,3.60,3.70,0.00,0.00,3.65,3.65,39600,26.20,BANKNIFTY,3456.80,79.56,3338.80,3377.24,3260.05,3469.90,50.00,0.00,0.00,0.00,0.45,0.99,-2.47,1.16,0.00000
0.00000,1.24,-2.60,-0.01,606.5,0.01,192850.00,-3700.00,-10.90,30325.00,3.85,3.90,0.00,0.00,3.90,3.90,39700,25.70,BANKNIFTY,3357.60,80.36,3238.80,3277.24,3161.30,3370.50,50.00,0.00,0.00,0.00,0.45,0.99,-2.60,1.24,0.00000
0.00000,1.30,-2.67,-0.01,--,0.01,420875.00,-55750.00,-53.50,48550.00,4.05,4.10,0.00,0.00,4.05,4.05,39800,25.10,BANKNIFTY,0.00,--,3138.80,3177.24,3035.10,3277.95,0.00,0.00,0.00,0.00,--,0.99,-2.67,1.30,0.00000
0.00000,1.38,-2.76,-0.01,209,0.01,219775.00,15375.00,58.20,41800.00,4.20,4.30,0.00,0.00,4.25,4.25,39900,24.50,BANKNIFTY,3159.60,82.36,3038.80,3077.24,2941.65,3153.25,200.00,0.00,0.00,0.00,0.45,0.99,-2.76,1.38,0.00000
0.00000,1.45,-2.82,-0.01,30.91,0.01,4139575.00,65350.00,5.30,1301150.00,4.45,4.50,0.00,0.00,4.40,4.40,40000,23.90,BANKNIFTY,2985.10,7.86,2938.80,2977.24,2972.00,2977.35,42100.00,2.40,1000.00,4025.00,0.5,0.99,-2.82,1.45,0.00000
0.00000,1.54,-2.93,-0.01,150.44,0.01,288850.00,31525.00,110.00,60175.00,4.60,4.70,0.00,0.00,4.65,4.65,40100,23.30,BANKNIFTY,2800.00,-77.24,2838.80,2877.24,2767.65,2899.40,400.00,0.00,0.00,50.00,0.55,0.99,-2.93,1.54,0.00000
0.00000,1.64,-3.04,-0.01,308.73,0.01,459475.00,22075.00,35.10,84900.00,4.85,4.90,0.00,0.00,4.90,4.90,40200,22.70,BANKNIFTY,2760.00,-17.24,2738.80,2777.24,2700.55,2804.55,275.00,0.00,0.00,0.00,0.51,0.99,-3.04,1.64,0.00000
